kappa1,kappa2,kappa3,sigma1
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
5.38703629143928,1.1393216729892346,2.1128811393619764,-1.6182956630951901
