ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0
0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0
0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0
0,0,0.454545454545455,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0
0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0.363636363636364,0.0909090909090909
0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.363636363636364,0.272727272727273,0.0909090909090909
0.0909090909090909,0,0,0,0,0.0909090909090909,0.272727272727273,0.272727272727273,0,0.0909090909090909
0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0
0,0.0909090909090909,0,0,0,0.0909090909090909,0.363636363636364,0.0909090909090909,0,0.0909090909090909
0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0,0.181818181818182,0,0,0,0,0,0.0909090909090909
0.272727272727273,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0,0.0909090909090909,0
0.181818181818182,0,0,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909
0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.0909090909090909
0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0
0.181818181818182,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0
0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0
0,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0
0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909
0.272727272727273,0,0.272727272727273,0,0.181818181818182,0,0,0,0,0
0,0,0,0,0,0,0,0.181818181818182,0,0.0909090909090909
0.363636363636364,0.0909090909090909,0,0,0,0,0,0,0,0
0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909
0,0,0,0,0,0,0,0,0,0.0909090909090909
0,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0
0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0,0
0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0
0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0,0
0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0.0909090909090909
0,0.0909090909090909,0,0,0,0,0,0,0,0
0,0.181818181818182,0,0.0909090909090909,0,0,0,0,0,0
0,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0
0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0
0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0.181818181818182,0
0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0
0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.181818181818182,0,0.0909090909090909,0.0909090909090909
0.272727272727273,0,0.0909090909090909,0,0,0.454545454545455,0.0909090909090909,0.0909090909090909,0.363636363636364,0
0,0,0,0,0,0,0,0.181818181818182,0.181818181818182,0.181818181818182
0.0909090909090909,0,0,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909
0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909
0,0,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.181818181818182,0,0.0909090909090909
0.272727272727273,0,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0,0.0909090909090909
0.454545454545455,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909
0.363636363636364,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0,0,0
0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0.272727272727273,0.181818181818182,0,0,0
0,0,0,0,0.0909090909090909,0.272727272727273,0,0.181818181818182,0,0.272727272727273
0,0,0,0.181818181818182,0,0.181818181818182,0,0.363636363636364,0,0.272727272727273
0,0,0.363636363636364,0,0,0,0,0.272727272727273,0,0.0909090909090909
0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0.181818181818182,0,0,0,0
0,0,0,0,0,0,0,0.0909090909090909,0,0
0,0,0,0,0,0,0,0.0909090909090909,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0909090909090909,0,0,0
0,0,0,0,0,0,0,0,0.181818181818182,0
0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0
0,0,0,0,0,0.0909090909090909,0,0,0,0
0,0.0909090909090909,0,0,0,0,0,0,0,0
0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909
0,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0
0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0,0
0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0.0909090909090909,0,0
0,0.181818181818182,0.272727272727273,0,0,0,0,0.0909090909090909,0.181818181818182,0
0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0
0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0
0.0909090909090909,0.181818181818182,0,0,0,0,0.0909090909090909,0,0.181818181818182,0
0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0
0.181818181818182,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.181818181818182,0,0,0,0,0,0.0909090909090909
0.0909090909090909,0,0,0,0,0,0,0,0,0
0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0,0
0.272727272727273,0.0909090909090909,0,0,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909
0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0
0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0
0,0,0.181818181818182,0,0.181818181818182,0,0,0.0909090909090909,0,0.0909090909090909
0.181818181818182,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909
0.0909090909090909,0.181818181818182,0,0,0,0,0.181818181818182,0,0,0.0909090909090909
0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0
0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0
0.181818181818182,0.0909090909090909,0,0.181818181818182,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0
0,0.272727272727273,0,0.727272727272727,0.0909090909090909,0.181818181818182,0,0.454545454545455,0,0.0909090909090909
0,0.181818181818182,0,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0
0,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
0.0909090909090909,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0
0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0
0,0.181818181818182,0.181818181818182,0,0,0,0.272727272727273,0.363636363636364,0.0909090909090909,0
0.0909090909090909,0.0909090909090909,0.272727272727273,0.181818181818182,0,0,0.0909090909090909,0,0.363636363636364,0.181818181818182
0.0909090909090909,0,0.181818181818182,0.272727272727273,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.363636363636364
0,0,0.363636363636364,0.363636363636364,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0.0909090909090909
0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.272727272727273,0,0
0,0.181818181818182,0.272727272727273,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0
0,0,0.363636363636364,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0
0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0,0
0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0.272727272727273,0,0.272727272727273,0.0909090909090909,0
0,0.363636363636364,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909
0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0.363636363636364,0.181818181818182,0.272727272727273,0.272727272727273
0,0,0,0.363636363636364,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.363636363636364
0.181818181818182,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.181818181818182,0.272727272727273,0.181818181818182,0
0.181818181818182,0.272727272727273,0.181818181818182,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
0.272727272727273,0.363636363636364,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0
0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0,0,0.0909090909090909,0,0
0,0,0,0,0.0909090909090909,0,0,0.181818181818182,0,0.181818181818182
0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.272727272727273
0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0.181818181818182,0
0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0
0,0.181818181818182,0.363636363636364,0,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0,0,0.181818181818182,0,0
0,0.0909090909090909,0,0,0.272727272727273,0,0,0,0.363636363636364,0.0909090909090909
0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0,0.272727272727273,0.0909090909090909
0,0,0,0,0.272727272727273,0,0,0,0,0
0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0
0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0
0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0
0,0,0,0,0,0.0909090909090909,0,0,0,0
0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0909090909090909,0
0,0.0909090909090909,0,0,0,0,0,0,0,0
0,0.181818181818182,0,0,0,0.0909090909090909,0,0,0,0
0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0
0,0,0,0,0,0,0,0,0.0909090909090909,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0909090909090909,0,0,0,0
0.0909090909090909,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0
0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0
0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909
0,0,0,0,0,0,0,0,0,0.181818181818182
0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0
0,0,0,0,0,0,0,0,0.0909090909090909,0
0.181818181818182,0,0,0,0.0909090909090909,0,0,0,0,0
0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.181818181818182,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0,0
0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909
0,0.0909090909090909,0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0
0,0,0,0.0909090909090909,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0.0909090909090909
0,0,0,0,0,0,0.0909090909090909,0.181818181818182,0,0
0,0.181818181818182,0.181818181818182,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0
0,0,0.363636363636364,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0
0.0909090909090909,0,0.272727272727273,0,0,0,0,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0.272727272727273,0.272727272727273
0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.0909090909090909
0.181818181818182,0.0909090909090909,0,0,0,0,0,0.181818181818182,0,0
0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0
0.363636363636364,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.181818181818182
0.0909090909090909,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0
0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0
0,0,0,0,0,0.363636363636364,0.0909090909090909,0,0,0
0,0,0.0909090909090909,0,0,0,0.363636363636364,0.0909090909090909,0,0
0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0.272727272727273,0.181818181818182,0,0
0.181818181818182,0,0,0,0,0,0.0909090909090909,0.363636363636364,0.0909090909090909,0.272727272727273
0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
0,0.0909090909090909,0,0,0,0,0,0,0,0
0.363636363636364,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0
0,0,0,0,0.181818181818182,0,0,0.181818181818182,0,0.0909090909090909
0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,0
0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909
0.0909090909090909,0.181818181818182,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909
0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.272727272727273,0,0,0,0.181818181818182
0,0.272727272727273,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364
0.363636363636364,0.181818181818182,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.181818181818182,0.363636363636364,0.181818181818182,0.0909090909090909
0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0,0
0,0.272727272727273,0,0.0909090909090909,0,0,0.0909090909090909,0.272727272727273,0,0
0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0
0.181818181818182,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.0909090909090909
0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0
0,0,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0
0,0.0909090909090909,0,0.0909090909090909,0,0,0.272727272727273,0,0.363636363636364,0
0.181818181818182,0.0909090909090909,0,0.272727272727273,0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909
0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0.272727272727273
0.0909090909090909,0.181818181818182,0,0,0.272727272727273,0,0,0,0,0
0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0
0.0909090909090909,0.181818181818182,0,0,0,0,0,0,0,0
0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0,0,0.272727272727273,0,0,0,0.0909090909090909,0
0,0,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0,0
0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909
0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0
0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0
0.0909090909090909,0,0.181818181818182,0.454545454545455,0.272727272727273,0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.181818181818182
0.0909090909090909,0,0,0,0.181818181818182,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909
0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0,0.0909090909090909
0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909
0,0,0.181818181818182,0,0.181818181818182,0.272727272727273,0.181818181818182,0.0909090909090909,0,0.0909090909090909
0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0
0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0.0909090909090909,0
0,0,0,0,0.0909090909090909,0,0.181818181818182,0,0,0
0,0,0.181818181818182,0,0,0,0.272727272727273,0,0,0
0.0909090909090909,0,0.272727272727273,0.363636363636364,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0
0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0
0,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0
0,0,0,0.272727272727273,0,0.0909090909090909,0,0,0,0
0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0,0
0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0
0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0,0.0909090909090909
0,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0,0,0
0,0,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0,0,0,0
0,0,0,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.181818181818182
0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0
0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.181818181818182,0,0,0,0
0.181818181818182,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0
0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0
0.0909090909090909,0,0,0,0,0,0,0,0,0
0.0909090909090909,0,0,0,0,0,0.363636363636364,0,0,0
0.181818181818182,0,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0
0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909
0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909
0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0
0,0,0.0909090909090909,0,0,0,0,0,0,0
0,0,0,0,0.0909090909090909,0,0,0,0,0.181818181818182
0.272727272727273,0,0,0,0,0,0,0,0.0909090909090909,0
0,0,0,0,0,0,0,0,0,0
0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909
0.0909090909090909,0,0,0,0,0,0.181818181818182,0,0,0
0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0
0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909
0,0,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0
0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.0909090909090909
0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909
0,0,0,0,0,0,0,0,0.0909090909090909,0
0,0,0,0,0.0909090909090909,0,0,0,0,0
0,0,0,0.0909090909090909,0,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909
0,0,0,0,0,0,0,0,0,0
0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0
0,0,0,0,0,0,0,0.0909090909090909,0,0
0,0,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0
0,0.0909090909090909,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0
0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0
0,0.0909090909090909,0,0,0.181818181818182,0,0.272727272727273,0,0,0
0,0,0,0.0909090909090909,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0
0,0,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0
0,0,0,0.181818181818182,0.0909090909090909,0,0,0.0909090909090909,0,0
